	created_at	favorite_count	hashtags	retweet_count	text	url	user_screen_name
0	Fri Oct 16 04:00:40 +0000 2020	0.0		0.0	Trump is a bullshitter liar https://t.co/f2nsNecOto	https://twitter.com/twitter/statuses/1316952172421054464	750d493da1448d33e31e910af194b466
1	Fri Oct 16 01:31:08 +0000 2020	0.0		0.0	Trump is a liar ahd a cheat#TrumpTownHall	https://twitter.com/twitter/statuses/1316914542908145665	d5ebce01cdb20946a5626bdd1d7b2201
2	Mon Oct 19 19:03:47 +0000 2020	1.0		0.0	Trump is a psychopathic liar https://t.co/pzjCYByZrn	https://twitter.com/twitter/statuses/1318266614442119169	750d493da1448d33e31e910af194b466
3	Thu Oct 15 05:05:12 +0000 2020	0.0	trump	0.0	 #trump is the biggest liar 🤥 ever	https://twitter.com/twitter/statuses/1316606026750205952	910cf9032e336cb0df9b03d7c18840c0
4	Wed Oct 14 23:34:23 +0000 2020	14.0		2.0	 TRUMP IS DESPERATE AND WILL PROMISE ANYTHING. HAVEN’T YOU BEEN PAYING ATTENTION? TRUMP BROKE 99% OF PROMISES MADE IN 2016! TRUMP IS A PATHOLOGICAL LIAR AND LIED OVER 20000 TIMES. YOU ARE ACCOMPLISHING NOTHING SUPPORTING TRUMP. YOU ARE LOSING FAR MORE IN SUPPORT.	https://twitter.com/twitter/statuses/1316522773351555072	c713cb9d138fa5280576c1fe3a0d1a1b
5	Fri Oct 16 17:03:31 +0000 2020	4.0		3.0	Trump: “I’m good with masks. “ liar liar liar. It’s not what Trump says it’s what he does—nothing no mask	https://twitter.com/twitter/statuses/1317149182281486337	750d493da1448d33e31e910af194b466
6	Wed Oct 14 22:52:26 +0000 2020	1.0		0.0	Ice cube bending over grabbing his toes for trump because trump promised to spend 500 billion dollars with him for black people again trump promised TRUMP the liar promised  🙂 wtf cube	https://twitter.com/twitter/statuses/1316512217592930305	6609146c4f2be92a19c673976029636f
7	Wed Oct 14 01:42:15 +0000 2020	0.0		1.0	 And after Trump spent the last month calling for arrests in the case. Concluded Trump's still a Liar.	https://twitter.com/twitter/statuses/1316192563284639745	73a0d6812d6d6a1d99d62f4f44299841
8	Tue Oct 20 13:51:57 +0000 2020	0.0		0.0	Trump projecting...⬇️ We ALL know who the Liar in Chief is. https://t.co/uLlsIz4dCg	https://twitter.com/twitter/statuses/1318550526188027908	3ebf4d954ad4630403e68792d96debbf
9	Tue Oct 20 20:16:18 +0000 2020	5.0		1.0	 This was from a TRUMP caravan today with thousands of participants you liar! https://t.co/9kcuv3DeN9	https://twitter.com/twitter/statuses/1318647249006710784	d1e66b2eb40e6709ad841d99d4f01849
10	Tue Oct 20 03:34:44 +0000 2020	0.0		0.0	The Kind of LIAR trump is is Harming the World! https://t.co/bzVTqBSxWA	https://twitter.com/twitter/statuses/1318395200260034561	0b16c75636ff54e22e03f776df676747
