	created_at	favorite_count	hashtags	retweet_count	text	url	user_screen_name
0	Mon Oct 19 18:40:50 +0000 2020	0.0		0.0	Trump is a dangerous frigging idiot! https://t.co/HaBEyoe6JZ	https://twitter.com/twitter/statuses/1318260836507504640	45d652e80cfc15a118156a2681d66439
1	Tue Oct 13 18:09:50 +0000 2020	0.0		0.0	dude slapped a trump sticker on an r8. what an idiot	https://twitter.com/twitter/statuses/1316078710840324099	5a9b37f4620d7182b22eaa7cb456c401
2	Wed Oct 14 13:58:00 +0000 2020	0.0	VoteBidenHarris2020, FakeNews	0.0	    No one more luckier than tRump. The only thing tRump does is lie and call you idiots. #VoteBidenHarris2020 #FakeNews	https://twitter.com/twitter/statuses/1316377719819698176	1ea954570c4a3d20aa71dffcefaabebc
3	Wed Oct 14 19:51:27 +0000 2020	0.0		0.0	  Just another idiot in the parade of trump appointees.	https://twitter.com/twitter/statuses/1316466671327105026	7f2596136b7e52c7a8168138b5ef34f4
4	Wed Oct 14 20:46:08 +0000 2020	0.0		0.0	Sorry but you are a idiot to believe Trump.. smh https://t.co/IzTL5fowoF	https://twitter.com/twitter/statuses/1316480431278166016	af94992b06ba39199d42462fe20cfbfe
5	Tue Oct 13 14:14:20 +0000 2020	0.0		0.0	 Idiot Trump also could not pronounce Yosemite during a press conference. Really Trump?	https://twitter.com/twitter/statuses/1316019442589986819	1d76d129e51ba9d8a908b3b6ecb5aeda
6	Sun Oct 18 18:24:42 +0000 2020	0.0		0.0	Like the grfter trump family!  What an idiot spokesperson. https://t.co/GPnFdpYJt6	https://twitter.com/twitter/statuses/1317894390615101443	9165c4f0da2dbb397d354d1f96a0f12f
7	Sat Oct 17 11:04:40 +0000 2020	0.0		0.0	Trump is Putin’s Useful Idiot. Rudy works for Trump!! https://t.co/xcU6iiRQEc	https://twitter.com/twitter/statuses/1317421262210101249	2330a1c55a70b109ef8d778b5f96afc5
8	Wed Oct 14 21:37:57 +0000 2020	0.0		0.0	A true pig and idiot. Trump support https://t.co/5tSVt6V8XY	https://twitter.com/twitter/statuses/1316493470966611968	bfc9268cbcb14859c9fa07a0e53fd25a
9	Thu Oct 15 05:28:07 +0000 2020	0.0		0.0	 And Putin thought Trump was his ”useful idiot”!	https://twitter.com/twitter/statuses/1316611792639086602	d66127424951eb2202370257ceacdc15
10	Tue Oct 20 16:51:53 +0000 2020	0.0		1.0	Trump: what can I do for u my king how can I serve u what can I do for u my kingFossi: trump is lying to u allTrump: ur an idiot fake news	https://twitter.com/twitter/statuses/1318595808909008896	5db8b950afe6e6dfb8dc3929e5c2bd58
11	Tue Oct 13 14:13:03 +0000 2020	0.0		0.0	 idiot Trump said throw a nuclear warhead in the eye of a hurricane. REALLY?	https://twitter.com/twitter/statuses/1316019121121710081	1d76d129e51ba9d8a908b3b6ecb5aeda
12	Tue Oct 13 15:45:54 +0000 2020	3.0		1.0	 It’s possible those are far right wing extremists related to Donald Trump or possibly Trump sympathizers. In any case keep an eye on those idiots	https://twitter.com/twitter/statuses/1316042486561857537	537dbbd3833a1d4c9c361f3a0eb78c74
13	Thu Oct 15 00:08:50 +0000 2020	2.0		1.0	These people at the Trump rally are really idiots. Like actual idiots.	https://twitter.com/twitter/statuses/1316531440960458753	a6e94ae4746274c0e3fc8e349da5e48d
14	Mon Oct 19 01:56:43 +0000 2020	7.0		1.0	The idiot hanging from Trump tower....jump already...Trump is in California.. expect him to stop for you? Maybe write him a letter...what an idiot	https://twitter.com/twitter/statuses/1318008142194741248	bb048a6fed107e4926c43b64990afd7f
15	Sun Oct 18 22:22:11 +0000 2020	1.0	FactsMatter, FactNews, RussiasTools, SaveAmerica, BidenHarris2020Landslide	0.0	Donald Trump and Rudy Giuliani have BOTH OFFICIALLY become USEFUL IDIOTS TO THE RUSSIAN GOVERNMENT  #FactsMatter #FactNews #RussiasTools #SaveAmerica #BidenHarris2020Landslide https://t.co/XTw4MY3PzL	https://twitter.com/twitter/statuses/1317954154103508994	a191a22b2b320252343cab3526dd8459
16	Tue Oct 20 16:14:13 +0000 2020	1.0		0.0	I believed that there was a high likelihood that Comey was colluding with the Trump Campaign but subsequent events led me to conclude he was just a sanctimonious idiot. https://t.co/TT5ZjX8xGz	https://twitter.com/twitter/statuses/1318586327655383045	5bb18692d98779a2b8f7a4e397f640c0
17	Wed Oct 14 11:49:41 +0000 2020	0.0		0.0	  Right but we know how to avoid infection and Trump knew this was dangerous and insisted that it was nothing to worry about.. and his idiot followers listened.. it’s like not wearing a seatbelt or texting while driving	https://twitter.com/twitter/statuses/1316345428875583488	490c1a877b79c2c0a6ca00df4b66fe97
18	Fri Oct 16 00:44:47 +0000 2020	1.0		0.0	trump just said he took on huge loans as a favor to some lenders. that’s proof that he’s an idiot businessman.	https://twitter.com/twitter/statuses/1316902878192205826	29acbf119bacd304a960ec22993a3019
19	Sat Oct 17 21:11:29 +0000 2020	3.0		0.0	The Trump playbook at this point: lie to your idiot base because you know they will believe anything you tweet/say and rake in all the bot likes. https://t.co/oghdjtZpT1	https://twitter.com/twitter/statuses/1317573972662288387	bb6f23c61260a3b3b4fcc4013c0add6a
